Date,r_data,rv_data_not_scaled,day_of_week,Mon,Tues,Wed,Thurs,Fri,month_yr,Summer,Autumn,Winter,Spring,Season,RV_sc_sqr
2012-11-06,0.00238377113315558,1.61556261827431e-05,1,0,1,0,0,0,11,0,0,0,1,4,0.4019406197778858
2014-06-16,0.00134302585155055,1.25611268615256e-05,0,1,0,0,0,0,6,0,0,1,0,3,0.3544168006955314
2009-12-04,-0.0152748445125557,2.07862714928461e-05,4,0,0,0,0,1,12,1,0,0,0,1,0.45591963648044487
2001-06-14,0.00608541133744645,2.34230392932309e-05,3,0,0,0,1,0,6,0,0,1,0,3,0.4839735456947094
2014-10-20,0.00901097195810152,2.00579739652532e-05,0,1,0,0,0,0,10,0,0,0,1,4,0.4478612951043347
2014-08-29,0.00026417064083617,1.43662938747757e-05,4,0,0,0,0,1,8,0,0,1,0,3,0.379028941833941
2004-09-20,-0.000798865103158519,1.14916159392479e-05,0,1,0,0,0,0,9,0,0,0,1,4,0.3389928603857005
2007-04-24,-0.00337170509707008,8.95815525726954e-05,1,0,1,0,0,0,4,0,1,0,0,2,0.9464753170193897
2003-09-01,0.00168623572306004,1.03402174312901e-05,0,1,0,0,0,0,9,0,0,0,1,4,0.32156208469423286
2005-06-22,-0.00517604326512178,8.81445159788151e-06,2,0,0,1,0,0,6,0,0,1,0,3,0.29689142119437384
2015-09-04,0.00254340398850239,0.000150521055886013,4,0,0,0,0,1,9,0,0,0,1,4,1.2268702290218514
2003-10-29,0.00611660300385886,1.12422159355248e-05,2,0,0,1,0,0,10,0,0,0,1,4,0.33529413856381085
2004-09-03,-0.00365529098202266,1.10842786032558e-05,4,0,0,0,0,1,9,0,0,0,1,4,0.33293060242722955
2007-11-23,-0.000647479196690171,1.16377336192447e-05,4,0,0,0,0,1,11,0,0,0,1,4,0.341141226169525
2010-07-19,-0.0146745937788282,0.000119199357144343,0,1,0,0,0,0,7,0,0,1,0,3,1.0917845810614062
2011-10-12,-0.00552613660273593,0.000103205866031319,2,0,0,1,0,0,10,0,0,0,1,4,1.0159028793704594
2006-02-03,-0.00435187480031196,3.86242440100107e-05,4,0,0,0,0,1,2,1,0,0,0,1,0.6214840626276003
2003-03-10,-0.000947971048494978,7.29196722863679e-05,0,1,0,0,0,0,3,0,1,0,0,2,0.8539301627555259
2012-02-21,0.00821315649213616,4.57489658626585e-05,1,0,1,0,0,0,2,1,0,0,0,1,0.6763798183170348
2006-09-19,-0.00315906122773235,2.13974426323666e-05,1,0,1,0,0,0,9,0,0,0,1,4,0.4625736982618726
2005-04-15,-0.0167975690758269,6.38338770921344e-05,4,0,0,0,0,1,4,0,1,0,0,2,0.7989610571995008
2002-03-05,0.00329451164613737,1.10772761554794e-05,1,0,1,0,0,0,3,0,1,0,0,2,0.33282542203803184
2006-07-18,-0.0066602807061944,3.55928366560494e-05,1,0,1,0,0,0,7,0,0,1,0,3,0.5965973236283365
2014-03-25,-0.00192183980625238,2.59543716811766e-05,1,0,1,0,0,0,3,0,1,0,0,2,0.5094543324104389
2003-05-05,0.000671952719813795,5.50167594496911e-05,0,1,0,0,0,0,5,0,1,0,0,2,0.7417328322899769
